Block,GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
202762,G48004909511002,480499511002,89,9
202763,G48004909511003,480499511003,69,6
202764,G48004909512001,480499512001,68,6
202765,G48004909512002,480499512002,70,7
202766,G48004909513001,480499513001,68,6
202767,G48004909513002,480499513002,67,6
202768,G48005109701001,480519701001,48,4
202769,G48005109701002,480519701002,55,5
202770,G48005109702011,480519702011,69,6
202771,G48005109702012,480519702012,57,5
202772,G48005109702021,480519702021,63,6
202773,G48005109702022,480519702022,54,4
202774,G48005109702023,480519702023,62,6
202775,G48005109703001,480519703001,81,8
202776,G48005109703002,480519703002,70,7
202777,G48005109703003,480519703003,79,8
202778,G48005109704001,480519704001,81,8
202779,G48005109704002,480519704002,81,8
202780,G48005109704003,480519704003,81,8
202781,G48005109704004,480519704004,81,8
202782,G48005109705011,480519705011,78,7
202783,G48005109705012,480519705012,77,7
202784,G48005109705013,480519705013,79,8
202785,G48005109705021,480519705021,47,4
202786,G48005109705022,480519705022,84,8
202787,G48005109705023,480519705023,84,8
202788,G48005309601011,480539601011,32,2
202789,G48005309601012,480539601012,45,4
202790,G48005309601013,480539601013,90,9
202791,G48005309601014,480539601014,55,5
202792,G48005309601021,480539601021,51,4
202793,G48005309602001,480539602001,41,3
202794,G48005309602002,480539602002,45,4
202795,G48005309603011,480539603011,73,7
202796,G48005309603012,480539603012, , 
202797,G48005309603021,480539603021,56,5
202798,G48005309603022,480539603022,55,5
202799,G48005309603023,480539603023,52,4
202800,G48005309604011,480539604011,38,3
202801,G48005309604012,480539604012,41,3
202802,G48005309604013,480539604013,38,3
202803,G48005309604021,480539604021,36,3
202804,G48005309604022,480539604022,42,3
202805,G48005309605011,480539605011,78,7
202806,G48005309605012,480539605012,78,7
